ID,duration,wav,wav_format,wav_opts

music-fma-wa-0008_17,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0008_17.wav,wav,
music-fma-wa-0040_8,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0040_8.wav,wav,
music-fma-wa-0090_12,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0090_12.wav,wav,
music-fma-wa-0029_30,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0029_30.wav,wav,
music-fma-wa-0022_49,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0022_49.wav,wav,
music-fma-wa-0034_55,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0034_55.wav,wav,
music-fma-wa-0011_15,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0011_15.wav,wav,
music-fma-wa-0033_51,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0033_51.wav,wav,
music-fma-wa-0034_49,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0034_49.wav,wav,
music-fma-wa-0082_56,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0082_56.wav,wav,
music-fma-wa-0062_57,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0062_57.wav,wav,
music-fma-wa-0042_12,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0042_12.wav,wav,
music-fma-wa-0046_34,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0046_34.wav,wav,
music-fma-wa-0030_2,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0030_2.wav,wav,
music-fma-wa-0053_23,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0053_23.wav,wav,
music-fma-wa-0065_76,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0065_76.wav,wav,
music-fma-wa-0061_20,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0061_20.wav,wav,
music-fma-wa-0054_5,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0054_5.wav,wav,
music-fma-wa-0040_19,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0040_19.wav,wav,
music-fma-wa-0038_42,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0038_42.wav,wav,
music-fma-wa-0083_10,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0083_10.wav,wav,
music-fma-wa-0071_3,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0071_3.wav,wav,
music-fma-wa-0022_32,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0022_32.wav,wav,
music-fma-wa-0044_53,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0044_53.wav,wav,
music-fma-wa-0082_4,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0082_4.wav,wav,
music-fma-wa-0005_14,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0005_14.wav,wav,
music-fma-wa-0047_19,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0047_19.wav,wav,
music-fma-wa-0020_12,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0020_12.wav,wav,
music-fma-wa-0075_7,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0075_7.wav,wav,
music-fma-wa-0050_26,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0050_26.wav,wav,
music-fma-wa-0034_94,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0034_94.wav,wav,
music-fma-wa-0009_18,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0009_18.wav,wav,
music-fma-wa-0047_26,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0047_26.wav,wav,
music-fma-wa-0034_75,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0034_75.wav,wav,
music-fma-wa-0085_14,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0085_14.wav,wav,
music-fma-wa-0022_67,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0022_67.wav,wav,
music-fma-wa-0057_42,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0057_42.wav,wav,
music-fma-wa-0021_39,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0021_39.wav,wav,
music-fma-wa-0022_11,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0022_11.wav,wav,
music-fma-wa-0032_31,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0032_31.wav,wav,
music-fma-wa-0061_6,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0061_6.wav,wav,
music-fma-wa-0033_15,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0033_15.wav,wav,
music-fma-wa-0027_4,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0027_4.wav,wav,
music-fma-wa-0006_20,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0006_20.wav,wav,
music-fma-wa-0056_50,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0056_50.wav,wav,
music-fma-wa-0042_35,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0042_35.wav,wav,
music-fma-wa-0086_2,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0086_2.wav,wav,
music-fma-wa-0025_42,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/music/fma-western-art/music-fma-wa-0025_42.wav,wav,
