ID,duration,wav,wav_format,wav_opts

noise-free-sound-0304_11,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0304_11.wav,wav,
noise-free-sound-0044,4.5975625,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0044.wav,wav,
noise-free-sound-0819_18,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0819_18.wav,wav,
noise-free-sound-0141_10,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0141_10.wav,wav,
noise-free-sound-0371_2,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0371_2.wav,wav,
noise-free-sound-0383_0,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0383_0.wav,wav,
noise-free-sound-0500_3,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0500_3.wav,wav,
noise-free-sound-0723_16,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0723_16.wav,wav,
noise-free-sound-0308_6,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0308_6.wav,wav,
noise-free-sound-0497_7,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0497_7.wav,wav,
noise-free-sound-0740_9,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0740_9.wav,wav,
noise-free-sound-0623_2,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0623_2.wav,wav,
noise-free-sound-0560_51,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0560_51.wav,wav,
noise-free-sound-0334_11,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0334_11.wav,wav,
noise-free-sound-0683_4,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0683_4.wav,wav,
noise-free-sound-0062_0,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0062_0.wav,wav,
noise-free-sound-0783_0,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0783_0.wav,wav,
noise-free-sound-0542_0,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0542_0.wav,wav,
noise-free-sound-0270_54,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0270_54.wav,wav,
noise-free-sound-0095,4.068375,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0095.wav,wav,
noise-free-sound-0384_16,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0384_16.wav,wav,
noise-free-sound-0073_12,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0073_12.wav,wav,
noise-free-sound-0308_5,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0308_5.wav,wav,
noise-free-sound-0475_3,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0475_3.wav,wav,
noise-free-sound-0546_6,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0546_6.wav,wav,
noise-free-sound-0436_8,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0436_8.wav,wav,
noise-free-sound-0232_4,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0232_4.wav,wav,
noise-free-sound-0226_2,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0226_2.wav,wav,
noise-free-sound-0634_1,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0634_1.wav,wav,
noise-free-sound-0262_2,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0262_2.wav,wav,
noise-free-sound-0336_0,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0336_0.wav,wav,
noise-free-sound-0076_13,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0076_13.wav,wav,
noise-free-sound-0726_3,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0726_3.wav,wav,
noise-free-sound-0837_0,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0837_0.wav,wav,
noise-free-sound-0111_0,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0111_0.wav,wav,
noise-free-sound-0828_6,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0828_6.wav,wav,
noise-free-sound-0154_11,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0154_11.wav,wav,
noise-free-sound-0531_7,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0531_7.wav,wav,
noise-free-sound-0497_24,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0497_24.wav,wav,
noise-free-sound-0534_2,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0534_2.wav,wav,
noise-free-sound-0059_5,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0059_5.wav,wav,
noise-free-sound-0824_5,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0824_5.wav,wav,
noise-free-sound-0698_11,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0698_11.wav,wav,
noise-free-sound-0386_4,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0386_4.wav,wav,
noise-free-sound-0076_1,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0076_1.wav,wav,
noise-free-sound-0064_13,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0064_13.wav,wav,
noise-free-sound-0644_9,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0644_9.wav,wav,
noise-free-sound-0480_6,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0480_6.wav,wav,
noise-free-sound-0567_15,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0567_15.wav,wav,
noise-free-sound-0340_3,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0340_3.wav,wav,
noise-free-sound-0153_10,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0153_10.wav,wav,
noise-free-sound-0708_4,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0708_4.wav,wav,
noise-free-sound-0568_15,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0568_15.wav,wav,
noise-free-sound-0151_8,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0151_8.wav,wav,
noise-free-sound-0546_15,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0546_15.wav,wav,
noise-free-sound-0552_2,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0552_2.wav,wav,
noise-free-sound-0109_1,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0109_1.wav,wav,
noise-free-sound-0684_6,5.0,/media/alex/extra_memory/speechbrain_dataset/musan/noise/free-sound/noise-free-sound-0684_6.wav,wav,
